Nome,Telefone,Bairro,Avaliação Google,Nº Avaliações,Google Maps,Script Versão,Status,Data Msg 1,Data Follow-up,Data Encerramento,Resposta do Lead,Observações
*Barber 347* | Barbearia | Barbearia em São Paulo| Barbearia em Santana | Barbearia na Zona Norte 💈,+55 11 95430-8579,Santana,4.9,123,https://www.google.com/maps/search/?api=1&query=*Barber%20347*%20%7C%20Barbearia%20%7C%20Barbearia%20em%20S%C3%A3o%20Paulo%7C%20Barbearia%20em%20Santana%20%7C%20Barbearia%20na%20Zona%20Norte%20%F0%9F%92%88&query_place_id=ChIJWew4Z2H3zpQRFRl5LOBY2Gw,,Não contactado,,,,,
Barbearia Santana,+55 11 95116-4747,Santana,4.8,129,https://www.google.com/maps/search/?api=1&query=Barbearia%20Santana&query_place_id=ChIJmfZyrc33zpQR_aWa5KAdKmM,,Não contactado,,,,,
Barbearia Suprema,+55 11 98254-5731,Santana,4.9,195,https://www.google.com/maps/search/?api=1&query=Barbearia%20Suprema&query_place_id=ChIJGVVl4S33zpQR-a1FLBC42xs,,Não contactado,,,,,
Robson Santana barbearia,+55 11 94601-1470,Santana,4.9,54,https://www.google.com/maps/search/?api=1&query=Robson%20Santana%20barbearia&query_place_id=ChIJGfnC7rn3zpQR4CUekmSVdz4,,Não contactado,,,,,
Beco da Navalha,+55 11 97891-7126,Santana,4.9,256,https://www.google.com/maps/search/?api=1&query=Beco%20da%20Navalha&query_place_id=ChIJK7O9XtD3zpQRyHN9fTZoPIo,,Não contactado,,,,,
Barbearia Zona Norte,+55 11 95396-0159,Santana,4.9,94,https://www.google.com/maps/search/?api=1&query=Barbearia%20Zona%20Norte&query_place_id=ChIJF9U3-SD3zpQR41zLE2SDWes,,Não contactado,,,,,
RB BARBEARIA SANTANA,+55 11 95552-6904,Santana,4.7,45,https://www.google.com/maps/search/?api=1&query=RB%20BARBEARIA%20SANTANA&query_place_id=ChIJ9Tim8ij2zpQRQvPCWxVuUxU,,Não contactado,,,,,
Studio TR Barbearia,+55 11 98958-2873,Santana,4.9,76,https://www.google.com/maps/search/?api=1&query=Studio%20TR%20Barbearia&query_place_id=ChIJSaUn7M33zpQR7ceTAR9syM8,,Não contactado,,,,,
GW barbearia,+55 11 98268-2887,Santana,5,79,https://www.google.com/maps/search/?api=1&query=GW%20barbearia&query_place_id=ChIJ1QeYYTz3zpQR2AD0bfUoZ4g,,Não contactado,,,,,
Castellano's Barber Shop - Tatuapé,+55 11 99382-9859,Tatuapé,4.7,181,https://www.google.com/maps/search/?api=1&query=Castellano's%20Barber%20Shop%20-%20Tatuap%C3%A9&query_place_id=ChIJo_0dHgNfzpQRurXdaAxKQ1o,,Não contactado,,,,,
Barbearia Mr. Gump Tatuapé,+55 11 96198-0985,Vila Gomes Cardim,5,1221,https://www.google.com/maps/search/?api=1&query=Barbearia%20Mr.%20Gump%20Tatuap%C3%A9&query_place_id=ChIJ4y0jhQBfzpQRHBSlwsw8pdw,,Não contactado,,,,,
Nova R&R Barber Shop - Melhor Barbearia do Tatuapé,+55 11 96776-2825,Tatuapé,4.6,117,https://www.google.com/maps/search/?api=1&query=Nova%20R%26R%20Barber%20Shop%20-%20Melhor%20Barbearia%20do%20Tatuap%C3%A9&query_place_id=ChIJxTFJU4tfzpQR11WN0GOaeZk,,Não contactado,,,,,
The Ellite Barber Shop,+55 11 2688-8609,Tatuapé,4.7,53,https://www.google.com/maps/search/?api=1&query=The%20Ellite%20Barber%20Shop&query_place_id=ChIJT_tdZKVfzpQRVCwfmzSVGnE,,Não contactado,,,,,
Barbearia Los Manos,+55 11 3836-3275,Lapa,4.7,75,https://www.google.com/maps/search/?api=1&query=Barbearia%20Los%20Manos&query_place_id=ChIJuUIfuDn5zpQRPaxE0ZUuqOA,,Não contactado,,,,,
Lapa Barber´s,+55 11 97088-5709,Lapa,5,4,https://www.google.com/maps/search/?api=1&query=Lapa%20Barber%C2%B4s&query_place_id=ChIJr_KoVN_5zpQRaIo1XDFWFM4,,Não contactado,,,,,
Marcello's Cortes,+55 11 95131-9792,Lapa,4.8,179,https://www.google.com/maps/search/?api=1&query=Marcello's%20Cortes&query_place_id=ChIJP1Y6pmX4zpQRN4g95ECMctc,,Não contactado,,,,,
