Nome,Telefone,Endereço,Bairro,Avaliação,Nº Avaliações,Google Maps URL
Barbearia visagista no Jardim Paulista - Trezentos Barber Shop,+55 11 93298-9958,"R. Pamplona, 1704 - Piso 1 - Jardim Paulista, São Paulo - SP, 01405-002, Brasil",Jardim Paulista,4.8,208,https://www.google.com/maps/search/?api=1&query=Barbearia%20visagista%20no%20Jardim%20Paulista%20-%20Trezentos%20Barber%20Shop&query_place_id=ChIJuaTjG7pZzpQRf_gD8My6JiY
BARBEIRO AT HOME 24h 💈💇🏻‍♂️🏠,+55 11 98332-1618,"R. Araújo, 355 - Centro Histórico de São Paulo, São Paulo - SP, 01220-020, Brasil",Centro Histórico de São Paulo,4.9,137,https://www.google.com/maps/search/?api=1&query=BARBEIRO%20AT%20HOME%2024h%20%F0%9F%92%88%F0%9F%92%87%F0%9F%8F%BB%E2%80%8D%E2%99%82%EF%B8%8F%F0%9F%8F%A0&query_place_id=ChIJr8XQBRVZzpQRAhJ5-PNP45U
Barbearia av paulista - São barba /Alameda Santos,+55 11 95748-2000,"Alameda Santos, 499 - Paraíso, São Paulo - SP, 04001-081, Brasil",Paraíso,4.9,89,https://www.google.com/maps/search/?api=1&query=Barbearia%20av%20paulista%20-%20S%C3%A3o%20barba%20%2FAlameda%20Santos&query_place_id=ChIJZYOuP95ZzpQRwneWtbFv4fo
São Paulo barbearia,+55 11 93759-4342,"R. Rodesia, 230 - Sumarezinho, São Paulo - SP, 05435-020, Brasil",Sumarezinho,4.7,193,https://www.google.com/maps/search/?api=1&query=S%C3%A3o%20Paulo%20barbearia&query_place_id=ChIJc0euML5XzpQRySI_sIsLb3s
Barber SP,+55 11 5908-1673,"R. Pelotas, 608 - Vila Mariana, São Paulo - SP, 04012-002, Brasil",Vila Mariana,4.9,182,https://www.google.com/maps/search/?api=1&query=Barber%20SP&query_place_id=ChIJvQNGpI1ZzpQR0aXMEtcmvLo
Barbearia King of Barba,+55 81 99709-0901,"R. Leandro Barreto, 850 - Jardim São Paulo, Recife - PE, 54720-140, Brasil",Jardim São Paulo,5,10,https://www.google.com/maps/search/?api=1&query=Barbearia%20King%20of%20Barba&query_place_id=ChIJQ2od5vIfqwcRgVmW56IPFYM
Barbearia Do Del,+55 983496609,"C 150 - R. Bauru, 94 - Jardim São Paulo, Recife - PE, 50920-150, Brasil",Jardim São Paulo,4.9,66,https://www.google.com/maps/search/?api=1&query=Barbearia%20Do%20Del&query_place_id=ChIJx-CM8qAeqwcRZQmL43kKMnc
Barbearia Shekinah José Bezerra,+55 81 98618-9959,"Rua Construtor Luiz Carvalhedo de Castro, 48-104 - Jardim São Paulo, Recife - PE, 50781-790, Brasil",Jardim São Paulo,4.8,96,https://www.google.com/maps/search/?api=1&query=Barbearia%20Shekinah%20Jos%C3%A9%20Bezerra&query_place_id=ChIJt9UvMrseqwcR8yNwWVOCVDs
Barbearia Imperial,+55 81 98447-3255,"R. Santa Terezinha, 635 b - Jardim São Paulo, Recife - PE, 50790-090, Brasil",Jardim São Paulo,4.7,57,https://www.google.com/maps/search/?api=1&query=Barbearia%20Imperial&query_place_id=ChIJge3Q16AeqwcRq6M3VVRxoVo
Amsterdã Rocha Barbearia Ponta Verde,+55 82 3023-0100,"Av. Prof. Sandoval Arroxelas, 618 - Ponta Verde, Maceió - AL, 57035-230, Brasil",Ponta Verde,4.7,101,https://www.google.com/maps/search/?api=1&query=Amsterd%C3%A3%20Rocha%20Barbearia%20Ponta%20Verde&query_place_id=ChIJExW9TehFAQcRP9PZ9Gapl5c
Will Barbearia,+55 81 98696-8184,"Estr. do Curado, 490 - Jardim São Paulo, Recife - PE, 50790-400, Brasil",Jardim São Paulo,4.9,34,https://www.google.com/maps/search/?api=1&query=Will%20Barbearia&query_place_id=ChIJqy08m1IdqwcRVMMZpUOPtE4
BarberShop - VisuCrazy,+55 81 99705-5213,"Av. São Paulo, 219 - Jardim São Paulo, Recife - PE, 50781-600, Brasil",Jardim São Paulo,5,17,https://www.google.com/maps/search/?api=1&query=BarberShop%20-%20VisuCrazy&query_place_id=ChIJFbGr0QYfqwcReynF2XjFtVY
BarberShop do Seu Jeremias,+55 81 98585-4977,"Av. São Paulo, 485 - Jardim São Paulo, Recife - PE, 50781-600, Brasil",Jardim São Paulo,4.9,8,https://www.google.com/maps/search/?api=1&query=BarberShop%20do%20Seu%20Jeremias&query_place_id=ChIJhz84HaYfqwcRIe4UXkTt6eo
Barbearia Shekinah,+55 81 98618-9959,"Shopping Jardim - Av. São Paulo, 485 - Térreo, Loja 01 - Jardim São Paulo, Recife - PE, 50781-600, Brasil",Jardim São Paulo,4.5,34,https://www.google.com/maps/search/?api=1&query=Barbearia%20Shekinah&query_place_id=ChIJo9lhyqQeqwcRD_NHQ3AYn3g
Barbearia Preto Hair,+55 81 99714-1222,"R. Campos Sáles, 281 - Madalena, Recife - PE, 50610-430, Brasil",Madalena,4.9,103,https://www.google.com/maps/search/?api=1&query=Barbearia%20Preto%20Hair&query_place_id=ChIJUxKB9RgZqwcROEBWOlsT4_8
Barbearia Rodrigo Barber,+55 89 98137-1379,"Av. Vinte e Nove de Abril - João Paulo II, São Lourenço do Piauí - PI, 64778-000, Brasil",João Paulo II,5,6,https://www.google.com/maps/search/?api=1&query=Barbearia%20Rodrigo%20Barber&query_place_id=ChIJORn5OLShcAcR4_dRg97mK-Y
SAGAZ BARBERSHOP,+55 81 99872-6155,"R. Maria do Carmo Catunda, 118 - Jardim São Paulo, Recife - PE, 50910-270, Brasil",Jardim São Paulo,5,21,https://www.google.com/maps/search/?api=1&query=SAGAZ%20BARBERSHOP&query_place_id=ChIJuStUyL4fqwcRGNBF1O2T6Ao
Salão e Barbearia Spalhafatos,+55 81 98789-5767,"Av. São Paulo, 585 B - Jardim São Paulo, Recife - PE, 50910-250, Brasil",Jardim São Paulo,4.3,8,https://www.google.com/maps/search/?api=1&query=Sal%C3%A3o%20e%20Barbearia%20Spalhafatos&query_place_id=ChIJkVPM1qQeqwcRJXR858DpoE4
Barbearia Moura,+55 81 99130-8297,"Lot. Joao Paulo II - Centro, São Caetano - PE, 55130-000, Brasil",Centro,5,4,https://www.google.com/maps/search/?api=1&query=Barbearia%20Moura&query_place_id=ChIJRRTgNSHtqQcRhMM6qAvmOKw
RB Barbearia,+55 81 99604-5647,"PE-095 - Passira, PE, 55702-419, Brasil",Passira,5,59,https://www.google.com/maps/search/?api=1&query=RB%20Barbearia&query_place_id=ChIJgVW2lx25qwcRzmbJgnTwHyg
Barbearia Ed Junior,+55 81 99855-9658,"R. Lorena, 87 - Jardim São Paulo, Recife - PE, 50790-250, Brasil",Jardim São Paulo,4.9,11,https://www.google.com/maps/search/?api=1&query=Barbearia%20Ed%20Junior&query_place_id=ChIJA5tgCXQfqwcRA__J0hmYOXE
Paulo barbearia na Jaguarana,+55 81 98173-8874,"R. São Jorge - Jaguarana, Paulista - PE, 53419-290, Brasil",Jaguarana,5,11,https://www.google.com/maps/search/?api=1&query=Paulo%20barbearia%20na%20Jaguarana&query_place_id=ChIJIZWDccAVqwcRDKAKrBqwN0o
Barbearia Bruno do Corte,+55 82 99176-4237,"R. São Pedro, Paulo Jacinto - AL, 57740-000, Brasil",Paulo Jacinto,5,1,https://www.google.com/maps/search/?api=1&query=Barbearia%20Bruno%20do%20Corte&query_place_id=ChIJE3PCtf7vBgcR7Wbj5P_CXUQ
Barbearia 21,+55 81 99692-6415,"R. Guarulhos, 90 - Jardim São Paulo, Recife - PE, 50910-120, Brasil",Jardim São Paulo,3,2,https://www.google.com/maps/search/?api=1&query=Barbearia%2021&query_place_id=ChIJTUmzHQAfqwcRL8ZrG0y28gI
